season	age	league	Tm	G	W	L	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_season	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2017	56.0	NBA	CHO	82	36.0	46.0	0.439	0.474	steve clifford	4.0	False	2016	36.0	0.43902439024390244	-2.4390243902439046e-05	W	-0.05643931065872227	0.40984024056927876	142
2014	52.0	NBA	SAC	28	7.0	21.0	0.25	0.416	tyrone corbin	1.0	True	2013	28.0	0.34146341463414637	-0.09146341463414637	B	0.04050460784313727	0.44689885347004765	51
2016	65.0	NBA	HOU	82	55.0	27.0	0.6709999999999999	0.5479999999999999	mike dantoni	1.0	True	2015	41.0	0.5	0.17099999999999993	W	0.17892361471861476	0.4568352091760647	77
2017	66.0	NBA	HOU	82	65.0	17.0	0.7929999999999999	0.5479999999999999	mike dantoni	2.0	False	2016	55.0	0.6707317073170732	0.12226829268292672	W	0.11200152243589744	0.4322751521035712	104
2015	50.0	NBA	OKC	82	55.0	27.0	0.6709999999999999	0.606	billy donovan	1.0	True	2014	45.0	0.5487804878048781	0.12221951219512184	W	0.09192948092311727	0.4432514944828713	286
2016	51.0	NBA	OKC	82	47.0	35.0	0.573	0.606	billy donovan	2.0	False	2015	55.0	0.6707317073170732	-0.09773170731707326	W	-0.009403547681539802	0.4669347355499061	254
2017	52.0	NBA	OKC	82	48.0	34.0	0.585	0.606	billy donovan	3.0	False	2016	47.0	0.573170731707317	0.011829268292682937	W	0.01522532520633572	0.4370514384425497	428
2014	40.0	NBA	NYK	82	17.0	65.0	0.207	0.294	derek fisher	1.0	True	2013	37.0	0.45121951219512196	-0.24421951219512197	B	0.015041943155120047	0.4545272226630654	277
2015	41.0	NBA	NYK	54	23.0	31.0	0.426	0.294	derek fisher	2.0	False	2014	17.0	0.2073170731707317	0.2186829268292683	B	-0.04990480394958156	0.45236229680281326	472
2016	42.0	NBA	MEM	82	43.0	39.0	0.524	0.482	david fizdale	1.0	True	2015	42.0	0.5121951219512195	0.011804878048780498	B	0.07706978021978024	0.4419251958369275	91
2017	43.0	NBA	MEM	19	7.0	12.0	0.368	0.482	david fizdale	2.0	False	2016	43.0	0.524390243902439	-0.15639024390243905	B	0.031460033167495856	0.46664657680366856	201
2015	61.0	NBA	NOP	82	30.0	52.0	0.366	0.47	alvin gentry	1.0	True	2014	45.0	0.5487804878048781	-0.1827804878048781	B	0.05520449634273772	0.44241367842587886	145
2016	62.0	NBA	NOP	82	34.0	48.0	0.415	0.47	alvin gentry	2.0	False	2015	30.0	0.36585365853658536	0.04914634146341462	B	-0.009639156331207191	0.440984103857669	166
2017	63.0	NBA	NOP	82	48.0	34.0	0.585	0.47	alvin gentry	3.0	False	2016	34.0	0.4146341463414634	0.17036585365853657	B	0.1163765756871853	0.44613423042826167	246
2015	43.0	NBA	CHI	82	42.0	40.0	0.512	0.439	fred hoiberg	1.0	True	2014	50.0	0.6097560975609756	-0.09775609756097559	B	0.00874476031746031	0.4775706825601864	150
2016	44.0	NBA	CHI	82	41.0	41.0	0.5	0.439	fred hoiberg	2.0	False	2015	42.0	0.5121951219512195	-0.012195121951219523	B	-0.06479797673407253	0.4554658955627819	219
2017	45.0	NBA	CHI	82	27.0	55.0	0.329	0.439	fred hoiberg	3.0	False	2016	41.0	0.5	-0.17099999999999999	B	0.09805778985507248	0.4236897408656574	138
2014	61.0	NBA	BRK	82	38.0	44.0	0.463	0.491	lionel hollins	1.0	True	2013	44.0	0.5365853658536586	-0.07358536585365855	B	0.006468484848484842	0.46447777382042316	55
2015	62.0	NBA	BRK	37	10.0	27.0	0.27	0.491	lionel hollins	2.0	False	2014	38.0	0.4634146341463415	-0.19341463414634147	B	0.10139629629629633	0.510246325680421	27
2014	51.0	NBA	PHO	82	39.0	43.0	0.476	0.4270000000000001	jeff hornacek	2.0	False	2013	48.0	0.5853658536585366	-0.10936585365853657	W	0.040245331790123434	0.5023786397225943	54
2015	52.0	NBA	PHO	49	14.0	35.0	0.28600000000000003	0.4270000000000001	jeff hornacek	3.0	False	2014	39.0	0.47560975609756095	-0.18960975609756092	W	0.03900326923076923	0.49110271023285357	104
2016	53.0	NBA	NYK	82	31.0	51.0	0.378	0.4270000000000001	jeff hornacek	1.0	True	2015	32.0	0.3902439024390244	-0.012243902439024401	W	0.09740458874458875	0.48738260813751216	77
2017	54.0	NBA	NYK	82	29.0	53.0	0.354	0.4270000000000001	jeff hornacek	2.0	False	2016	31.0	0.3780487804878049	-0.0240487804878049	W	-0.023222546185539598	0.40310365306958407	132
2014	45.0	NBA	DEN	23	10.0	13.0	0.435	0.435	melvin hunt	1.0	True	2013	36.0	0.43902439024390244	-0.004024390243902443	B	0.1527923076923077	0.521279075066863	13
