fuzzy_name	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	year	player_join	Player	url	start_year	end_year	height	weight	birth_date	race	total_population	metro_percent_white	metro_percent_black	experience	youth	oldness	height_dummies
golden tate	0.007878787878787869	0.47667055928051777	44	G.Tate	DET	wr	204	9.7	5	0.7890261652091417	0.5397390884533995	0.2855300234773965	2017	g tate	golden tate	/players/T/TateGo00.htm	2010.0	2018.0	70.0	197.0	August 2, 1988	B	4296731	69.9	22.4	7.0	0.0	1.9747899159663866	short
greg olsen	0.07173333333333333	0.3172406738501977	24	G.Olsen	CHO	te	-44	-24.5	1	-1.0438027845925144	-1.320606623887183	-0.9678206743099554	2017	g olsen	greg olsen	/players/O/OlseGr00.htm	2007.0	2018.0	77.0	255.0	March 11, 1985	W	2381152	68.4	22.2	10.0	0.0	4.974789915966387	tall
isaiah crowell	0.13481440677966103	0.418545492321103	59	I.Crowell	CLE	rb	46	-2.9	2	-0.17866174766875065	-0.15691630756705768	-0.9269842073523851	2017	i crowell	isaiah crowell	/players/C/CrowIs00.htm	2014.0	2018.0	71.0	225.0	January 8, 1993	B	2061630	74.0	20.0	3.0	2.0252100840336134	0.0	short
jack doyle	0.14346800000000004	0.4196342901563217	25	J.Doyle	IND	te	-2	-7.5	4	-0.4787723159048303	-0.4319338957668882	0.3087014219781755	2017	j doyle	jack doyle	/players/D/DoylJa00.htm	2013.0	2018.0	78.0	262.0	May 5, 1990	W	1968768	77.4	14.9	4.0	1.0252100840336134	0.0	tall
jacoby brissett	0.2215850175438596	0.4110683125624181	190	J.Brissett	IND	qb	-105	-14.4	13	-0.8637590782225538	-0.8123231020631848	-0.7490149208449398	2017	j brissett	jacoby brissett	/players/B/BrisJa00.htm	2016.0	2018.0	76.0	235.0	December 11, 1993	B	1968768	77.4	14.9	1.0	4.025210084033613	0.0	tall
jameis winston	0.026020394211285165	0.42899271363019487	376	J.Winston	TB	qb	779	14.3	19	0.5900137488571292	0.7232029724992333	-0.02416177164015926	2017	j winston	jameis winston	/players/W/WinsJa00.htm	2015.0	2018.0	76.0	231.0	January 6, 1994	B	2927714	78.7	12.0	2.0	3.0252100840336134	0.0	tall
jared goff	0.11899608796296296	0.4370796414799672	72	J.Goff	LAR	qb	1125	24.0	28	1.15902438027067	1.2421786841109217	1.0631179521670115	2017	j goff	jared goff	/players/G/GoffJa00.htm	2016.0	2018.0	76.0	222.0	October 14, 1994	W	13189366	55.0	6.7	1.0	4.025210084033613	0.0	tall
jarvis landry	0.08988581920903956	0.4116485259145034	59	J.Landry	MIA	wr	98	-4.9	9	-0.11254848032188564	-0.4241300616846868	1.7515349201374628	2017	j landry	jarvis landry	/players/L/LandJa00.htm	2014.0	2018.0	71.0	206.0	November 28, 1992	B	5926955	71.1	21.4	3.0	2.0252100840336134	0.0	short
jason witten	0.07893353945818614	0.4364468021787076	283	J.Witten	DAL	te	40	-0.4	5	0.08625815278285376	-0.060782344610765135	0.7342087874075525	2017	j witten	jason witten	/players/W/WittJa00.htm	2003.0	2017.0	78.0	263.0	May 6, 1982	W	6957123	69.7	15.3	14.0	0.0	8.974789915966387	tall
jay cutler	0.0813578883495145	0.428794680345379	721	J.Cutler	MIA	qb	35	-9.9	19	-0.633523562621699	-0.5715611739959067	-0.02416177164015926	2017	j cutler	jay cutler	/players/C/CutlJa00.htm	2006.0	2017.0	75.0	225.0	April 29, 1983	W	5926955	71.1	21.4	11.0	0.0	5.974789915966387	tall
jeremy maclin	0.129219875	0.421874260415648	80	J.Maclin	BAL	wr	-36	-19.1	3	-1.2522749190120523	-1.3615918378463872	-0.4474724248526367	2017	j maclin	jeremy maclin	/players/M/MaclJe00.htm	2009.0	2017.0	72.0	200.0	May 11, 1988	B	2780873	61.3	29.0	8.0	0.0	2.9747899159663866	short
jerick mckinnon	0.18079999999999996	0.42457720645652214	67	J.McKinnon	MIN	rb	-24	-12.7	3	-0.9171003781086872	-0.9299179253786812	-0.5944020871572545	2017	j mckinnon	jerick mckinnon	/players/M/McKiJe00.htm	2014.0	2017.0	69.0	205.0	May 3, 1992	B	3488436	80.3	7.8	3.0	2.0252100840336134	0.0	short
jesse james	0.02128716931216931	0.41673283046140713	63	J.James	PIT	te	-23	-12.8	3	-0.7612875502486723	-0.7089906874749801	-0.11680594345120147	2017	j james	jesse james	/players/J/JameJe00.htm	2015.0	2018.0	79.0	261.0	June 4, 1994	W	2354926	87.1	8.2	2.0	3.0252100840336134	0.0	tall
jimmy graham	0.14047711442786076	0.39336737478893197	134	J.Graham	SEA	te	9	-6.0	10	-0.3307881455342464	-0.3535215962268622	2.861745614554437	2017	j graham	jimmy graham	/players/G/GrahJi00.htm	2010.0	2018.0	79.0	265.0	November 24, 1986	W	3671095	71.1	5.6	7.0	0.0	1.9747899159663866	tall
joe flacco	0.07103132484460793	0.43316339210221133	915	J.Flacco	BAL	qb	-301	-19.3	18	-1.1860888000637504	-1.0744860904031095	-0.14497062984095602	2017	j flacco	joe flacco	/players/F/FlacJo00.htm	2008.0	2018.0	78.0	245.0	January 16, 1985	W	2780873	61.3	29.0	9.0	0.0	3.9747899159663866	tall
joe mixon	0.0637298318042814	0.4399954181211321	109	J.Mixon	CIN	rb	68	1.0	4	0.05341896475522945	0.1507067852355272	-0.2618199669621241	2017	j mixon	joe mixon	/players/M/MixoJo00.htm	2017.0	2018.0	73.0	220.0	July 24, 1996	B	2146410	82.3	12.2	0.0	5.025210084033613	0.0	tall
jordan howard	0.03274236111111112	0.463490776951016	48	J.Howard	CHI	rb	160	5.8	9	1.0239383076191462	0.5293198225310163	1.4010906340135278	2017	j howard	jordan howard	/players/H/HowaJo00.htm	2016.0	2018.0	72.0	224.0	November 2, 1994	B	9528396	66.3	16.9	1.0	4.025210084033613	0.0	short
