fuzzy_name	season	compound_mean_mean	compound_mean_std	user_count	Player	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Race	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	white_black_diff	height_dummies
tony parker	2016	0.10732832099258081	0.4466869121293039	358	tony parker	2002	2018	G	74	185	17-May-82		M	347	PG	34	63	1587	13.0	0.514	0.121	0.20600000000000002	0.7	7.3	4.0	27.8	1.1	0.1	12.5	20.2	1.4	1.7	3.0	0.092	-1.2	-1.7	-3.0	-0.4	SAS	4.2	9.0	0.466	0.4	1.1	0.33299999999999996	3.8	7.9	0.484	0.486	1.3	1.9	0.726	0.1	1.7	1.8	4.5	0.5	0.0	1.4	1.5	10.1	2017	61	2332345	80.1	6.7	0.1349	15	0.0	7.618534482758619	73.39999999999999	medium
tony parker	2017	0.13548167652859944	0.43973017129404557	338	tony parker	2002	2018	G	74	185	17-May-82		M	391	PG	35	55	1071	12.7	0.498	0.095	0.201	0.7	9.2	4.9	28.2	1.3	0.1	13.9	20.5	0.4	1.1	1.4	0.065	-2.4	-1.7	-4.1	-0.6	SAS	3.2	7.1	0.45899999999999996	0.2	0.7	0.27	3.1	6.4	0.479	0.47200000000000003	1.0	1.4	0.705	0.1	1.6	1.7	3.5	0.5	0.0	1.2	0.9	7.7	2018	47	2332345	80.1	6.7	0.1349	16	0.0	8.61853448275862	73.39999999999999	medium
tony snell	2015	0.11907649078726976	0.438175888767807	199	tony snell	2014	2018	G-F	79	200	10-Nov-91	University of New Mexico	B	406	SF	24	64	1301	6.4	0.478	0.457	0.09699999999999999	1.6	14.3	8.1	6.9	0.6	1.0	12.8	13.7	-0.5	1.0	0.4	0.016	-3.4	-0.7	-4.1	-0.7	CHI	2.0	5.3	0.37200000000000005	0.9	2.4	0.361	1.1	2.9	0.38	0.45399999999999996	0.5	0.5	0.909	0.3	2.8	3.1	1.0	0.3	0.3	0.8	1.6	5.3	2016	42	9528396	66.3	16.9	0.5296	2	2.381465517241381	0.0	49.4	medium
tony snell	2016	0.10359652387896469	0.44051330768363584	211	tony snell	2014	2018	G-F	79	200	10-Nov-91	University of New Mexico	B	409	SG	25	80	2336	9.7	0.603	0.6559999999999999	0.107	1.1	11.1	6.2	5.9	1.2	0.5	8.8	12.1	2.1	1.3	3.4	0.071	0.2	-1.1	-0.8	0.7	MIL	3.1	6.8	0.455	1.8	4.4	0.406	1.3	2.3	0.5479999999999999	0.588	0.6	0.7	0.81	0.3	2.8	3.1	1.2	0.7	0.2	0.7	1.6	8.5	2017	42	1571730	73.8	16.6	0.3745	3	1.3814655172413808	0.0	57.199999999999996	medium
tony snell	2017	0.09302993442433742	0.43492656002659963	201	tony snell	2014	2018	G-F	79	200	10-Nov-91	University of New Mexico	B	460	SG	26	75	2053	8.5	0.578	0.631	0.113	0.5	7.5	4.0	6.5	1.1	1.2	7.5	10.6	1.6	0.7	2.4	0.055999999999999994	-0.5	-1.3	-1.8	0.1	MIL	2.5	5.7	0.435	1.4	3.6	0.40299999999999997	1.0	2.1	0.49	0.562	0.5	0.6	0.792	0.1	1.8	1.9	1.3	0.6	0.4	0.5	1.5	6.9	2018	44	1571730	73.8	16.6	0.3745	4	0.3814655172413808	0.0	57.199999999999996	medium
torrey craig	2017	0.09218009868421052	0.45983089060382176	152	torrey craig	2018	2018	G-F	78	215	19-Dec-90	University of South Carolina Upstate	B	115	SF	27	39	629	9.8	0.535	0.423	0.255	7.2	15.5	11.4	5.4	0.9	2.0	11.6	11.9	0.5	0.4	0.9	0.069	-1.7	-0.8	-2.5	-0.1	DEN	1.6	3.5	0.45299999999999996	0.4	1.5	0.293	1.2	2.0	0.57	0.515	0.6	0.9	0.629	1.0	2.2	3.3	0.6	0.3	0.4	0.5	1.6	4.2	2018	46	2752056	81.9	5.6	0.5638	0	0.0	0.6185344827586192	76.30000000000001	medium
travis wear	2017	0.15192544927536236	0.4124565072245997	115	travis wear	2015	2018	F	82	230	21-Sep-90	University of North Carolina, University of California, Los Angeles	W	504	SF	27	17	228	6.9	0.49700000000000005	0.653	0.111	0.0	17.6	8.9	4.2	0.8	1.8	7.4	15.2	0.0	0.2	0.2	0.042	-3.7	-1.3	-5.1	-0.2	LAL	1.5	4.2	0.34700000000000003	1.0	2.8	0.36200000000000004	0.5	1.5	0.32	0.465	0.5	0.5	1.0	0.0	2.2	2.2	0.4	0.2	0.3	0.4	1.8	4.4	2018	42	13189366	55.0	6.7	0.4802	3	0.0	0.6185344827586192	48.3	tall
treveon graham	2017	0.11537517223288812	0.4649189653501443	58	treveon graham	2017	2018	G	78	220	29-Oct-93	Virginia Commonwealth University	B	182	SG	24	63	1050	9.0	0.5529999999999999	0.439	0.267	4.3	8.3	6.2	7.8	1.5	0.2	9.9	11.3	1.1	0.7	1.8	0.08	-0.6	-0.3	-0.9	0.3	CHO	1.5	3.5	0.434	0.6	1.5	0.41200000000000003	0.9	2.0	0.452	0.525	0.7	0.9	0.695	0.7	1.3	1.9	0.9	0.5	0.0	0.4	1.7	4.3	2018	36	2381152	68.4	22.2	0.2987	1	2.381465517241381	0.0	46.2	medium
trevor ariza	2015	0.055416341269841296	0.4372424907283928	315	trevor ariza	2005	2018	F	80	215	30-Jun-85	University of California, Los Angeles	B	24	SF	30	81	2859	12.9	0.551	0.581	0.187	2.6	11.6	7.1	10.0	2.8	0.8	10.8	15.7	3.1	2.3	5.4	0.09	1.2	0.3	1.5	2.5	HOU	4.4	10.6	0.41600000000000004	2.3	6.2	0.371	2.1	4.4	0.478	0.523	1.6	2.0	0.7829999999999999	0.8	3.7	4.5	2.3	2.0	0.3	1.4	2.2	12.7	2016	41	6482592	65.7	17.2	0.124	11	0.0	3.618534482758619	48.5	tall
trevor ariza	2016	0.05553420370370373	0.4372699447776348	315	trevor ariza	2005	2018	F	80	215	30-Jun-85	University of California, Los Angeles	B	19	SF	31	80	2773	12.4	0.5479999999999999	0.695	0.158	2.1	15.9	9.0	8.8	2.5	0.6	7.9	14.1	2.8	3.2	6.0	0.10400000000000001	0.7	1.0	1.7	2.6	HOU	4.1	10.0	0.409	2.4	6.9	0.344	1.7	3.0	0.556	0.528	1.2	1.6	0.738	0.7	5.1	5.7	2.2	1.8	0.3	0.9	1.7	11.7	2017	55	6482592	65.7	17.2	0.124	12	0.0	4.618534482758619	48.5	tall
