fuzzy_name	year	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	player_join	Player	level_1	start_year	end_year	url	height	weight	birth_date	race	salary	standard_salary	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	rookie	white_black_diff	height_dummies
andre johnson	2014	0.0810205479452055	0.4422951057988144	73	A.Johnson	HOU	wr	-86	-19.8	3	-1.409661611307765	-1.3475725014139297	-0.544835862422086	a johnson	andre johnson	11.0	2003.0	2016.0	/players/J/JohnAn02.htm	75.0	219.0	July 11, 1981	B	15644583.0	16.56563528084687	9.0	6482592.0	65.7	17.2	0.124	11.0	0.0	6.411971830985915	False	48.5	tall
andre johnson	2015	0.10786118721461188	0.44373065745580786	73	A.Johnson	IND	wr	27	-8.2	4	-0.7523346822918028	-0.7122463471654529	-0.3583757258952226	a johnson	andre johnson	12.0	2003.0	2016.0	/players/J/JohnAn02.htm	75.0	219.0	July 11, 1981	B	7500000.0	15.830413578506539	8.0	1968768.0	77.4	14.9	0.2283	12.0	0.0	7.411971830985915	False	62.50000000000001	tall
andre williams	2014	0.24619750000000007	0.36757187498895333	20	A.Williams	NYG	rb	-24	-11.4	7	-0.9045640212650274	-0.9291413968483041	0.4691344674331126	a williams	andre williams	0.0	2014.0	2017.0	/players/W/WillAn00.htm	72.0	220.0	August 28, 1992	B	533400.0	13.187026890730053	6.0	20031443.0	58.7	17.1	0.6183	0.0	4.588028169014085	0.0	True	41.6	short
andrew quarless	2013	0.16591875	0.47498917070988755	16	A.Quarless	GB	te	-25	-14.4	2	-1.0313228947368231	-1.1233152990004918	-0.6868428187429105	a quarless	andrew quarless	3.0	2010.0	2015.0	/players/Q/QuarAn00.htm	76.0	248.0	October 6, 1988	B		14.863362723999122	8.0	314555.0	88.0	1.9	-0.108504513832	3.0	1.588028169014085	0.0	False	86.1	tall
andrew quarless	2014	0.06203666666666666	0.33619969005821243	15	A.Quarless	GB	te	24	-0.1	3	-0.08377153501330607	0.09903048799260113	-0.17502626191180065	a quarless	andrew quarless	4.0	2010.0	2015.0	/players/Q/QuarAn00.htm	76.0	248.0	October 6, 1988	B	1250000.0	14.038654109278484	12.0	314555.0	88.0	1.9	-0.108504513832	4.0	0.588028169014085	0.0	False	86.1	tall
andy dalton	2013	0.0828528129563519	0.407741226048368	551	A.Dalton	CIN	qb	541	2.3	33	0.34408339510064045	0.2626208912679305	1.4221488361017316	a dalton	andy dalton	2.0	2011.0	2018.0	/players/D/DaltAn00.htm	74.0	220.0	October 29, 1987	W		14.863362723999122	11.0	2146410.0	82.3	12.2	0.095227848102	2.0	2.588028169014085	0.0	False	70.1	tall
andy dalton	2014	0.09465001508660624	0.4053398131650348	641	A.Dalton	CIN	qb	237	-3.7	19	-0.1641104296890614	-0.06436722927927986	0.10948141881429416	a dalton	andy dalton	3.0	2011.0	2018.0	/players/D/DaltAn00.htm	74.0	220.0	October 29, 1987	W	9059063.0	16.019276251037226	10.0	2146410.0	82.3	12.2	0.095227848102	3.0	1.588028169014085	0.0	False	70.1	tall
andy dalton	2015	0.12265593597964097	0.4029807709353603	871	A.Dalton	CIN	qb	1135	31.7	26	1.437420372477999	2.0702418921457166	0.4766709675799402	a dalton	andy dalton	4.0	2011.0	2018.0	/players/D/DaltAn00.htm	74.0	220.0	October 29, 1987	W	9600000.0	16.077273656438063	12.0	2146410.0	82.3	12.2	0.095227848102	4.0	0.588028169014085	0.0	False	70.1	tall
andy dalton	2016	0.13358328882294745	0.4342856928054985	337	A.Dalton	CIN	qb	738	7.6	18	0.4551178676947547	0.3460974596438208	-0.3693322547617708	a dalton	andy dalton	5.0	2011.0	2018.0	/players/D/DaltAn00.htm	74.0	220.0	October 29, 1987	W	13100000.0	16.388122788171383	6.0	2146410.0	82.3	12.2	0.095227848102	5.0	0.0	0.41197183098591506	False	70.1	tall
andy dalton	2017	0.10657349506696036	0.41853510567989083	509	A.Dalton	CIN	qb	87	-8.6	25	-0.548007513969953	-0.5020077281098041	0.7006913775646213	a dalton	andy dalton	6.0	2011.0	2018.0	/players/D/DaltAn00.htm	74.0	220.0	October 29, 1987	W	15700000.0	16.569171270318538	7.0	2146410.0	82.3	12.2	0.095227848102	6.0	0.0	1.411971830985915	False	70.1	tall
